id,title,authors,year,venue,v1_decision,v1_reason,v2_decision,v2_reason
DMLA63XV,A Three-Stage Pipeline using ReAct and Reflexion for Reliable LLM-based Java Unit Test Case Generator,"Ubaidillah, Reza P.; Widyani, Yani",2025.0,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-T - dÃ¹ng ReAct+Reflexion pipeline phá»©c táº¡p, LLM khÃ´ng sinh test trá»±c tiáº¿p"
SWQHGCQN,Software Unit Test Automation with LLM-Based Generative AI: Evaluating Test Quality through Code Coverage and Edge-Case Analysis,"GenÃ§, Sevdanur; Ceylan, Mustafa Furkan; Ä°stanbullu, Ayhan",2025.0,2025 10th International Conference on Computer Science and Engineering (UBMK),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,EC-A - không truy cập được full-text PDF
S23ZNM25,Static Analysis and LLM for Comprehensive Java Unit Test Generation,"Wei, Wei",2025.0,"2025 8th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)",INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-M - chá» bÃ¡o cÃ¡o code coverage chung, khÃ´ng cÃ³ branch coverage hoáº·c mutation score cá»¥ thá»"
FQBT555V,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,"Wang, Zejun; Liu, Kaibo; Li, Ge; Jin, Zhi",2024.0,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage), IC-T(LLM trá»±c tiáº¿p)"
38L7BBUT,Test Intention Guided LLM-Based Unit Test Generation,"Nan, Zifan; Guo, Zhaoqiang; Liu, Kui; Xia, Xin",2025.0,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,EC-A - không truy cập được full-text PDF
FMHSDW3S,A Multi-Stage Approach for LLM-Based Automated Repair of Test Cases,"Wang, Xiaoyin; Ji, Zhaorong; Wang, Yao; Liu, Mengfan",2026.0,2026 8th International Conference on Natural Language Processing (ICNLP),EXCLUDE,"EC-O - vá» repair test case, khÃ´ng pháº£i generation tá»« Äáº§u",,
HJNAJ9C5,What Inputs Drive Effective Large Language Model-Based Unit Test Generation?,"Agarwal, Saarang; Nie, Pengyu; Nagappan, Meiyappan",2026.0,IEEE Software,INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-Lang - thá»±c nghiá»m Äa ngÃ´n ngá»¯, khÃ´ng táº­p trung Java/Python"
98FLBH8L,ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation,"Tang, Yutian; Liu, Zhijie; Zhou, Zhichao; Luo, Xiapu",2024.0,IEEE Transactions on Software Engineering,INCLUDE,"IC-P, IC-I, IC-R",INCLUDE,"IC-Lang(Java), IC-M(branch coverage + mutation score), IC-T(ChatGPT trá»±c tiáº¿p)"
YRPPLC22,LLM-Augmented Mutation Testing: Intelligent Generation and Triage of Mutants,"Bajaj, Sanjay; Dantuluri, Venkata Seetarama Raju; Rajput, Devendra; Kolhe, Anil; Sharma, Ashkrit",2026.0,"2026 International Conference on Artificial Intelligence, Systems, and Emerging Technologies (ICAISET)",EXCLUDE,"EC-O - vá» mutation testing/triage mutants, khÃ´ng pháº£i test generation",,
ZR7H42GR,CubeTesterAI: Automated JUnit Test Generation Using the LLaMA Model,"Gorla, Daniele; Kumar, Shivam; Roselli Lorenzini, Pietro Nicolaus; Alipourfaz, Alireza",2025.0,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,IC-M - khÃ´ng bÃ¡o cÃ¡o branch coverage hoáº·c mutation score cá»¥ thá»
V73DCPG4,MAGISTER: LLM-Based Test Generation with Role-Specialized Agents,"Ahammad, Abdellatif; El Bajta, Manal; Radgui, Maryam",2025.0,2025 International Conference on Intelligent Systems: Theories and Applications (SITA),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-T - dÃ¹ng role-specialized multi-agent, LLM khÃ´ng sinh test trá»±c tiáº¿p"
MLTS4W3W,FailMapper: Automated Generation of Unit Tests Guided by Failure Scenarios,"Dong, Ruiqi; Deng, Zehang; Zhu, Xiaogang; Du, Xiaoning; Liu, Huai; Wang, Shaohua; Wen, Sheng; Xiang, Yang",2025.0,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-M - metric chÃ­nh lÃ  pass rate, khÃ´ng pháº£i branch coverage hoáº·c mutation score"
F3NAN8N2,An Evaluation Framework for Software Unit Tests Generated by Large Language Models,"Nguyen, Steven Thanhtan; Bharath, Smita; Homayouni, Hajar",2025.0,2025 IEEE 36th International Symposium on Software Reliability Engineering Workshops (ISSREW),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,EC-A - không truy cập được full-text PDF
5B8GIYAM,Do LLMs Generate Useful Test Oracles? An Empirical Study with an Unbiased Dataset,"Molinelli, Davide; Grazia, Luca Di; Martin-Lopez, Alberto; Ernst, Michael D.; PezzÃ¨, Mauro",2025.0,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),INCLUDE,"IC-P, IC-I, IC-R",EXCLUDE,"IC-M - metric chÃ­nh lÃ  oracle correctness, khÃ´ng pháº£i branch coverage hoáº·c mutation score"
