function_id,model,status,repair_attempts,source_imported,branch_coverage,test_file,cost_usd,elapsed_s,error
PY-007,gpt-4o-mini-2024-07-18,ok,0,True,100.0,generated_tests_v3\PY-007_test.py,0.004386,12.33,
PY-009,gpt-4o-mini-2024-07-18,ok,0,True,100.0,generated_tests_v3\PY-009_test.py,0.006552,7.42,
PY-005,gpt-4o-mini-2024-07-18,ok_but_not_verified,4,True,64.70588235294117,generated_tests_v3\PY-005_test.py,0.001933,27.71,".F...F...                                                                [100%]
================================== FAILURES ===================================
________________________ test_take_more_than_available ________________________
tmp_check_PY_005_test.py:21: in test_take_more_than_available
    assert take(stub, 15) == [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
E   assert [0, 1, 2, 3, 4, 5, ...] == [0, 1, 2, 3, 4, 5, ...]
E     
E     Left contains 5 more items, first extra item: 0
E     Use -v to get more diff
__________________________ test_take_with_large_num ___________________________
tmp_check_PY_005_test.py:37: in test_take_with_large_num
    assert take(stub, 100) == [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
E   assert [0, 1, 2, 3, 4, 5, ...] == [0, 1, 2, 3, 4, 5, ...]
E     
E     Left contains 40 more items, first extra item: 0
E     Use -v to get more diff
=========================== short test summary info ===========================
FAILED tmp_check_PY_005_test.py::test_take_more_than_available - assert [0, 1...
FAILED tmp_check_PY_005_test.py::test_take_with_large_num - assert [0, 1, 2, ...
2 failed, 7 passed in 0.07s"
PY-006,gpt-4o-mini-2024-07-18,ok,0,True,94.11764705882354,generated_tests_v3\PY-006_test.py,0.002323,8.13,
PY-008,gpt-4o-mini-2024-07-18,ok_but_not_verified,4,True,95.23809523809524,generated_tests_v3\PY-008_test.py,0.004086,33.96,"...F...                                                                  [100%]
================================== FAILURES ===================================
____________________ test_inherit_doc_with_private_method _____________________
tmp_check_PY_008_test.py:62: in test_inherit_doc_with_private_method
    assert TestClass._private_method.__doc__ is None
E   AssertionError: assert 'Private method documentation.' is None
E    +  where 'Private method documentation.' = <function test_inherit_doc_with_private_method.<locals>.TestClass._private_method at 0x00000156D321A820>.__doc__
E    +    where <function test_inherit_doc_with_private_method.<locals>.TestClass._private_method at 0x00000156D321A820> = <class 'tmp_check_PY_008_test.test_inherit_doc_with_private_method.<locals>.TestClass'>._private_method
=========================== short test summary info ===========================
FAILED tmp_check_PY_008_test.py::test_inherit_doc_with_private_method - Asser...
1 failed, 6 passed in 0.07s"
PY-011,gpt-4o-mini-2024-07-18,ok_but_not_verified,4,True,100.0,generated_tests_v3\PY-011_test.py,0.006585,45.43,"_________ test_get_top_cluster_params_empty_input ___________________
tmp_check_PY_011_test.py:60: in test_get_top_cluster_params_empty_input
    top_clusters, centroids, mol_indices, data_top_clusters = get_top_cluster_params(stub, X, top)
                                                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
functions\PY_011.py:57: in get_top_cluster_params
    centroids = np.array([self._calc_centroid(X, c) for c in top_clusters])
                          ^^^^^^^^^^^^^^^^^^^^^^^^^
tmp_check_PY_011_test.py:10: in _calc_centroid
    return np.mean(X[cluster], axis=0)
                   ^^^^^^^^^^
E   IndexError: index 6 is out of bounds for axis 0 with size 1
=========================== short test summary info ===========================
FAILED tmp_check_PY_011_test.py::test_get_top_cluster_params_normal - assert ...
FAILED tmp_check_PY_011_test.py::test_get_top_cluster_params_edge_case - Inde...
FAILED tmp_check_PY_011_test.py::test_get_top_cluster_params_invalid_top - as...
FAILED tmp_check_PY_011_test.py::test_get_top_cluster_params_large_top - Inde...
FAILED tmp_check_PY_011_test.py::test_get_top_cluster_params_empty_input - In...
5 failed in 0.15s"
PY-015,gpt-4o-mini-2024-07-18,ok_but_not_verified,4,True,96.7741935483871,generated_tests_v3\PY-015_test.py,0.008907,39.62,"..F...                                                                   [100%]
================================== FAILURES ===================================
_______________ test_check_cluster_structure_empty_subclusters ________________
tmp_check_PY_015_test.py:46: in test_check_cluster_structure_empty_subclusters
    check_cluster_structure(brc)
functions\PY_015.py:47: in check_cluster_structure
    if msg:
       ^^^
E   UnboundLocalError: cannot access local variable 'msg' where it is not associated with a value
---------------------------- Captured stdout call -----------------------------
Check to ensure all N_j values are identical to all len(mol_j) values passed.
Total number of molecules: 0
=========================== short test summary info ===========================
FAILED tmp_check_PY_015_test.py::test_check_cluster_structure_empty_subclusters
1 failed, 5 passed in 0.06s"
PY-016,gpt-4o-mini-2024-07-18,ok_but_not_verified,4,True,79.3103448275862,generated_tests_v3\PY-016_test.py,0.012086,57.34,"6_test.py:79: in test_reindex_indexer_no_copy
    assert result is stub  # Should return the same instance if copy is False
    ^^^^^^^^^^^^^^^^^^^^^
E   assert <tmp_check_PY_016_test.Stub object at 0x00000207B59DB550> is <tmp_check_PY_016_test.Stub object at 0x00000207B59897B0>
____________ test_reindex_indexer_with_none_indexer_and_same_axis _____________
tmp_check_PY_016_test.py:85: in test_reindex_indexer_with_none_indexer_and_same_axis
    assert result is stub  # Should return the same instance if axes are the same
    ^^^^^^^^^^^^^^^^^^^^^
E   assert <tmp_check_PY_016_test.Stub object at 0x00000207B6A9DA90> is <tmp_check_PY_016_test.Stub object at 0x00000207B6AAC050>
=========================== short test summary info ===========================
FAILED tmp_check_PY_016_test.py::test_reindex_indexer_with_indexer - Attribut...
FAILED tmp_check_PY_016_test.py::test_reindex_indexer_allow_dups - TypeError:...
FAILED tmp_check_PY_016_test.py::test_reindex_indexer_fill_value - AttributeE...
FAILED tmp_check_PY_016_test.py::test_reindex_indexer_no_copy - assert <tmp_c...
FAILED tmp_check_PY_016_test.py::test_reindex_indexer_with_none_indexer_and_same_axis
5 failed, 3 passed in 0.17s"
PY-020,gpt-4o-mini-2024-07-18,ok_but_not_verified,4,True,5.2631578947368425,generated_tests_v3\PY-020_test.py,0.014173,33.58,"=================================== ERRORS ====================================
__________________ ERROR collecting tmp_check_PY_020_test.py __________________
ImportError while importing test module 'C:\Users\Huy Dang\Downloads\RT-SWT-004-nhom5\tmp_check_PY_020_test.py'.
Hint: make sure your test modules/packages have valid Python names.
Traceback:
..\..\AppData\Local\Python\pythoncore-3.14-64\Lib\importlib\__init__.py:88: in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
tmp_check_PY_020_test.py:1: in <module>
    from functions.PY_020 import tsne_plot
functions\PY_020.py:3: in <module>
    import matplotlib
E   ModuleNotFoundError: No module named 'matplotlib'
=========================== short test summary info ===========================
ERROR tmp_check_PY_020_test.py
!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.19s"
PY-021,gpt-4o-mini-2024-07-18,ok_but_not_verified,4,True,4.3478260869565215,generated_tests_v3\PY-021_test.py,0.015963,25.09,"=================================== ERRORS ====================================
__________________ ERROR collecting tmp_check_PY_021_test.py __________________
ImportError while importing test module 'C:\Users\Huy Dang\Downloads\RT-SWT-004-nhom5\tmp_check_PY_021_test.py'.
Hint: make sure your test modules/packages have valid Python names.
Traceback:
..\..\AppData\Local\Python\pythoncore-3.14-64\Lib\importlib\__init__.py:88: in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
tmp_check_PY_021_test.py:1: in <module>
    from functions.PY_021 import mol_relocation_plots
functions\PY_021.py:1: in <module>
    import plotly.graph_objects as go
E   ModuleNotFoundError: No module named 'plotly'
=========================== short test summary info ===========================
ERROR tmp_check_PY_021_test.py
!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.10s"
