id,title,abstract,authors,year,venue,search_strings
1,No More Manual Tests? Evaluating and Improving ChatGPT for Unit Test Generation,Empirical study evaluating ChatGPT for unit test generation on 13 OSS Java projects. Quantitative analysis of correctness sufficiency readability usability. Passing tests achieve comparable branch coverage to manually-written tests. User study with 5 Java developers.,Yuan Z.; Lou Y.; Liu M.; Ding S.; Wang K.; Chen Y.; Peng X.,2024,FSE 2024,String A
2,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,Evaluates GPT-4 Claude 3.5 Command-R Llama 3.1 for automated unit test generation in Java and Python real-world projects. Measures code coverage and mutation score. GPT-4 top performer. Java outperforms Python consistently.,Schafer M.; Nadi S.; Eghbali A.; Tip F.,2024,IEEE TSE 2024,String B
3,An initial investigation of ChatGPT unit test generation capability,Evaluates OpenAI LLM for Java unit test generation on 33 programs. Best result temp=0.6: 93.5% code coverage and 58.8% mutation score. Similar performance to EvoSuite and Randoop traditional tools.,Guilherme A.; Vincenzi A.M.R.,2023,SAST 2023 (ACM),String A
4,Mutation-Guided Unit Test Generation with a Large Language Model (MUTGEN),Proposes MUTGEN mutation-guided LLM test generation approach. Key finding: some test suites achieve 100% branch coverage but only 4% mutation score. MUTGEN significantly outperforms EvoSuite and vanilla LLM prompting on mutation score. Java 204 subjects.,Wang G.; Xu Q.; Briand L.; Liu K.,2025,IEEE TSE 2025,String B
5,Effective test generation using pre-trained Large Language Models and mutation testing,Uses mutation testing feedback to guide pre-trained LLM test generation. Mutation feedback loop iteratively improves fault detection. Java OSS benchmark. Mutation score primary metric.,Dakhel A.M.; Nikanjam A.; Majdinasab V.; Khomh F.; Desmarais M.C.,2024,IST 2024 (ACM),String C
6,Multi-language Unit Test Generation using LLMs (aster),aster framework for LLM-based test generation in Java SE/EE and Python. GPT-4-turbo outperforms EvoSuite. Compares against developer-written tests. Naturalness metrics included. Java branch+mutation Table 3.,Pan S. et al.,2024,FSE 2024 (ACM),String C
7,On the Evaluation of Large Language Models in Unit Test Generation,Comprehensive evaluation of LLMs including GPT-4 on Java Defects4J. Branch coverage and mutation score both measured. Coverage-only metrics insufficient. GPT-4 mutation score 61.2%.,Chu Z.; Zhou J.; Liang G.; Wang Q.; Chen J.,2024,ASE 2024 (ACM),String C
8,Benchmarking LLMs for Unit Test Generation from Real-World Functions (ULT),ULT benchmark for Python function-level unit test generation. High cyclomatic complexity controlled. 12 LLMs evaluated. Branch coverage avg 30.22%; mutation score avg 40.21%. Python high CC challenging.,Huang D.; Zhang J.M.; Harman M. et al.,2025,ACM TOSEM 2025,String D
9,Harnessing Large Language Models for Automated Software Testing,16 LLMs evaluated. GPT-4 achieves highest branch coverage 97.16% and line coverage 98.65% on Java focal methods. Fine-tuned Llama-2 also evaluated.,Anonymous,2025,Electronics MDPI 2025,String A
10,Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,GPT-4o vs DeepSeek V3 on six Java Defects4J classes. GPT-4o mutation score 85.61% on Primes class (medium CC). PIT mutation tool. MC and MS both measured.,Cabral R. et al.,2025,SBQS 2025,String A
